x,y,rob
0.32827,5.6973,0.95166
0.30713,5.7322,0.94336
0.30639,5.7323,0.94081
0.30347,5.6951,0.96799
0.30196,5.7172,0.94435
0.30108,5.7189,0.94833
0.30053,5.7222,0.94954
0.35177,5.1137,0.99163
0.50645,5.3835,1.0044
0.302,5.7272,0.94347
0.30039,5.7295,0.94352
0.35498,5.8551,0.94236
0.33527,5.7889,0.93877
0.36984,5.8957,0.94684
0.30398,5.8397,0.93594
0.30102,5.8229,0.94912
0.30173,5.8335,0.94802
0.30199,5.8412,0.94469
0.30397,5.8398,0.93628
0.30343,5.8401,0.94538
0.34946,5.9425,0.94711
0.48224,5.9822,0.96356
0.30132,5.8922,0.93131
0.30056,5.8892,0.9311
0.30186,5.9084,0.93055
0.30998,5.972,0.93087
0.36005,5.9965,0.95609
0.30794,5.975,0.93698
0.30914,5.9677,0.93915
0.31461,5.984,0.94576
0.30912,5.9412,0.94124
0.30623,5.996,0.94352
0.3103,5.9809,0.9391
0.30442,5.6592,0.95767
0.30326,5.3832,0.96814
0.30892,5.9781,0.93808
0.39928,5.6955,0.97264
0.30896,5.9782,0.9385
0.30899,5.9185,0.94031
0.30571,5.8909,0.93226
0.3045,5.9763,0.94394
0.30248,5.878,0.93551
0.30125,5.8768,0.93518
0.32717,5.5915,0.97014
0.482,5.1981,1.0062
0.30083,5.8764,0.93471
0.3005,5.8764,0.9343
0.34676,5.932,0.95013
0.45195,5.8271,0.96523
0.31631,5.9418,0.94466
0.30006,5.8777,0.93571
0.30401,5.8987,0.9268
0.49855,5.8923,0.96701
0.32382,5.8227,0.94222
0.30319,5.8995,0.93073
0.30501,5.9127,0.94343
0.45789,5.9035,0.95426
0.55769,5.7849,0.97254
0.30162,5.9077,0.9253
0.46493,5.582,0.98098
0.30099,5.9828,0.93183
0.30081,5.9842,0.93367
0.30248,5.9885,0.94361
0.3012,5.9862,0.93503
0.301,5.9866,0.93611
0.30026,5.9868,0.94596
0.30803,5.9812,0.94325
0.30168,5.9325,0.93961
0.30149,5.9304,0.94087
0.32907,5.7841,0.94114
0.32143,5.7785,0.94018
0.30397,5.6423,0.9548
0.31211,5.7746,0.94298
0.31442,5.5244,0.96784
0.3362,5.823,0.95076
0.30538,5.7577,0.93938
0.3142,5.8372,0.93731
0.38274,5.9102,0.94895
0.46625,5.2421,1.0024
0.30483,5.7799,0.93827
0.31246,5.9224,0.94505
0.50275,5.9605,0.96016
0.30466,5.783,0.93729
0.3317,5.6306,0.96531
0.30133,5.8108,0.93621
0.3005,5.811,0.9356
0.30035,5.811,0.93698
0.30048,5.811,0.93653
0.30031,5.811,0.93292
0.30016,5.8112,0.93197
0.30013,5.8115,0.92834
0.34123,5.8846,0.93622
0.30003,5.8131,0.93598
