x,y,rob
0.30922,5.996,0.049946
0.30132,5.9563,0.043854
0.45221,5.9464,0.1915
0.30121,5.9567,0.043103
0.30193,5.9854,0.043237
0.30794,5.9957,0.049809
0.30065,5.9988,-0.10672
0.3005,5.9996,-0.10619
0.30053,5.9997,-0.10616
0.4625,5.3403,0.24872
0.30025,5.9995,0.0036602
0.30058,5.9999,-0.10607
0.30055,5.9998,-0.10611
0.30054,5.9999,-0.10614
0.32442,5.6424,0.10338
0.30049,5.9993,-0.10549
0.30025,5.9985,-0.10592
0.3002,5.9985,-0.10606
0.30064,5.9998,-0.10514
0.30065,5.9999,-0.10633
0.30061,5.9999,-0.10603
0.30056,6,-0.1061
0.32807,5.9695,-0.0019833
0.30056,6,-0.1061
0.30056,6,-0.1061
0.30041,5.9998,-0.10633
0.3002,5.9979,-0.10745
0.30042,5.9985,-0.10715
0.31561,5.8153,0.10882
0.30172,5.9952,0.039779
0.30052,5.9994,-0.10543
0.30007,5.996,0.036775
0.56163,5.8693,0.28704
0.30024,5.9988,-0.10598
0.30042,5.9996,-0.10632
0.30028,5.9989,-0.10592
0.3001,5.9993,-0.10623
0.30003,5.9992,-0.10636
0.30001,5.9988,-0.10641
0.30001,5.9988,-0.10642
0.3,5.9988,-0.10642
0.45902,5.3631,0.2453
0.3,5.9988,-0.10642
0.30005,5.9994,-0.10713
0.3,5.9994,-0.10638
0.37266,5.853,0.15631
0.3003,5.9984,-0.10584
0.30007,5.9988,0.0035388
0.3442,5.7616,0.1432
0.31163,5.3979,0.1072
0.30012,5.9974,-0.107
0.30006,5.9975,0.0036821
0.30001,5.9994,-0.10721
0.30001,5.9994,-0.10721
0.30002,5.9995,-0.10718
0.3826,5.9543,0.05463
0.3,5.9994,-0.10719
0.3,5.9994,-0.10719
0.3,5.9994,-0.10719
0.3,5.9994,-0.10719
0.30007,5.9996,-0.10708
0.30007,5.9996,-0.10706
0.30001,5.9996,-0.10717
0.3,5.9996,-0.10717
0.3003,5.9998,-0.10659
0.30046,5.9999,-0.10625
0.30046,5.9999,-0.10626
0.52422,5.0524,0.33925
0.30056,5.9999,-0.10611
0.30055,6,-0.10612
0.30052,6,-0.10616
0.30052,6,-0.10616
0.30047,5.9993,-0.10553
0.30005,5.9962,-0.10618
0.3,5.9962,-0.10739
0.3,5.9962,-0.10739
0.3,5.9962,-0.10739
0.30265,5.9987,-0.10329
0.33048,5.0438,0.1973
0.3006,5.9973,-0.10618
0.53423,5.0383,0.34928
0.53421,5.1446,0.33298
